eb8047,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487580,ca2eba,200
ca2eba,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487580,,500
184a5f,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487657,00aa1d,200
00aa1d,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487657,,500
b1ea70,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487732,,200
2f9793,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/share,1465487741,,200
8c361e,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/logout,1465487748,,302
20dd80,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487748,,302
1205b7,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/login,1465487749,,200
d80341,::1,POST,http://localhost:8888/IMIE/symfony/web/app_dev.php/login_check,1465487753,,302
263c95,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487754,,200
5bb806,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/logout,1465487760,,302
8d0410,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487761,,302
64ae52,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/login,1465487761,,200
1b7de5,::1,POST,http://localhost:8888/IMIE/symfony/web/app_dev.php/login_check,1465487787,,302
38c41b,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487788,,200
756271,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/logout,1465487794,,302
44782d,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/,1465487794,,302
08c37c,::1,GET,http://localhost:8888/IMIE/symfony/web/app_dev.php/login,1465487795,,200
e9cd1a,::1,GET,http://localhost/symfony/web/app_dev.php/,1465542748,,302
659f80,::1,GET,http://localhost/symfony/web/app_dev.php/login,1465542749,e0c78e,200
e0c78e,::1,GET,http://localhost/symfony/web/app_dev.php/login,1465542749,,500
